Fri Aug 14 04:34:03 2026    artifacts/f11_post_f10_rebaseline/cprofile_a.prof

         3694446 function calls (3685897 primitive calls) in 1.930 seconds

   Ordered by: internal time
   List reduced from 186 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8431    0.011    0.000    0.160    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:984(_iter_candidates)
    36599    0.010    0.000    0.010    0.000 {built-in method builtins.max}
      659    0.009    0.000    0.012    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:365(_component_map)
    50112    0.009    0.000    0.009    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\coordinates.py:55(square_to_index)
      299    0.009    0.000    0.537    0.002 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\evaluation\evaluator.py:39(evaluate)
      329    0.008    0.000    0.830    0.003 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:988(_push_impl)
     2059    0.007    0.000    0.025    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:355(_token)
     2389    0.007    0.000    0.007    0.000 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:205(iterencode)
     4841    0.006    0.000    0.013    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:801(_path_holds)
     1588    0.006    0.000    0.032    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1382(_transition)
     4841    0.006    0.000    0.017    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:647(_make_binding)
     1588    0.006    0.000    0.012    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:353(to_position)
     1588    0.006    0.000    0.009    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:366(_apply_effect)
    22673    0.004    0.000    0.004    0.000 {built-in method builtins.len}
     2389    0.004    0.000    0.018    0.000 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:183(dumps)
     1917    0.004    0.000    1.147    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:635(in_check)
     2418    0.004    0.000    0.357    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\attacks.py:58(is_square_attacked)
     2389    0.004    0.000    0.012    0.000 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:183(encode)
    14344    0.004    0.000    0.004    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1325(<genexpr>)
    331/2    0.004    0.000    2.056    1.028 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:178(negamax)
      930    0.003    0.000    0.008    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:125(_semantic_public_action)
    14344    0.003    0.000    0.003    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:995(<genexpr>)
     1709    0.003    0.000    0.005    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:113(is_semantic_compiled)
     1588    0.003    0.000    0.003    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:337(__init__)
     1259    0.003    0.000    0.779    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1151(_trial_child_if_s3_legal)
     9909    0.003    0.000    0.003    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:840(_target_holds)


